season,MATCH_ID,TEAM,HOME TEAM,BELONGS TO,BATTING,RUN,BALL FACE,FOURS,SIXES,STRIKE RATE,OUT/ NOT_OUT,SEASON
9346,734015,SRH v KKR,GT,SRH,Karn Sharma,4,4,0,0,100,run out (Pathan),2014
9347,734015,SRH v KKR,GT,SRH,Dale Steyn,1,2,0,0,50, b UT Yadav,2014
9348,734015,SRH v KKR,GT,KKR,Robin Uthappa,40,33,5,1,121.21,run out (&dagger;Ojha/Sammy),2014
9349,734015,SRH v KKR,GT,KKR,Gautam Gambhir,6,10,1,0,60,c &dagger;Ojha b Steyn,2014
9350,734015,SRH v KKR,GT,KKR,Manish Pandey,35,32,3,1,109.37,c Finch b Sharma,2014
9351,734015,SRH v KKR,GT,KKR,Yusuf Pathan,39,28,2,2,139.28,not out,2014
9352,734015,SRH v KKR,GT,KKR,Ryan ten Doeschate,25,15,2,1,166.66,not out,2014
9353,734017,RR v MI,GT,MI,Michael Hussey,56,39,3,2,143.58,c Cooper b Ankit Sharma,2014
9354,734017,RR v MI,GT,MI,Lendl Simmons,62,51,6,2,121.56,c Cooper b Ankit Sharma,2014
9355,734017,RR v MI,GT,MI,Kieron Pollard,14,12,0,1,116.66,not out,2014
9356,734017,RR v MI,GT,MI,Rohit Sharma,40,19,3,4,210.52,run out (Faulkner),2014
9357,734017,RR v MI,GT,RR,Karun Nair,48,24,4,3,200,c Santokie b Harbhajan Singh,2014
9358,734017,RR v MI,GT,RR,Unmukt Chand,2,9,0,0,22.22,c Hussey b Ojha,2014
9359,734017,RR v MI,GT,RR,Shane Watson,5,6,1,0,83.33,c Rayudu b Ojha,2014
9360,734017,RR v MI,GT,RR,Sanju Samson,2,5,0,0,40,c Rayudu b Santokie,2014
9361,734017,RR v MI,GT,RR,Kevon Cooper,5,8,0,0,62.5,c Pollard b Harbhajan Singh,2014
9362,734017,RR v MI,GT,RR,Ankit Sharma,4,3,0,0,133.33,c Rayudu b Gopal,2014
9363,734017,RR v MI,GT,RR,Stuart Binny,2,10,0,0,20,st &dagger;Tare b Gopal,2014
9364,734017,RR v MI,GT,RR,Brad Hodge,40,30,0,3,133.33,c Sharma b Santokie,2014
9365,734017,RR v MI,GT,RR,James Faulkner,31,21,1,2,147.61,not out,2014
9366,734017,RR v MI,GT,RR,Rajat Bhatia,6,4,1,0,150,not out,2014
9367,734019,DC v KXIP,GT,DC,Murali Vijay,5,8,1,0,62.5,c Hendricks b Sandeep Sharma,2014
9368,734019,DC v KXIP,GT,DC,Kevin Pietersen,49,32,6,1,153.12, b Patel,2014
9369,734019,DC v KXIP,GT,DC,Dinesh Karthik,69,44,7,3,156.81,c Dhawan b Hendricks,2014
9370,734019,DC v KXIP,GT,DC,Jean-Paul Duminy,17,21,1,0,80.95,c Maxwell b Hendricks,2014
9371,734019,DC v KXIP,GT,DC,Kedar Jadhav,0,1,0,0,0,c Maxwell b Sandeep Sharma,2014
9372,734019,DC v KXIP,GT,DC,Mayank Agarwal,6,2,0,1,300, b Sandeep Sharma,2014
9373,734019,DC v KXIP,GT,DC,Manoj Tiwary,10,8,1,0,125,not out,2014
9374,734019,DC v KXIP,GT,DC,Wayne Parnell,2,2,0,0,100,c Maxwell b Hendricks,2014
9375,734019,DC v KXIP,GT,DC,Mohammed Shami,1,2,0,0,50,not out,2014
9376,734019,DC v KXIP,GT,KXIP,Virender Sehwag,23,22,2,1,104.54,c Tiwary b Duminy,2014
9377,734019,DC v KXIP,GT,KXIP,Manan Vohra,42,19,4,3,221.05,c Vijay b Imran Tahir,2014
9378,734019,DC v KXIP,GT,KXIP,Glenn Maxwell,14,11,0,1,127.27, b Imran Tahir,2014
9379,734019,DC v KXIP,GT,KXIP,David Miller,2,6,0,0,33.33, b Duminy,2014
9380,734019,DC v KXIP,GT,KXIP,Wriddhiman Saha,13,13,1,0,100,c Parnell b Mohammed Shami,2014
9381,734019,DC v KXIP,GT,KXIP,Axar Patel,42,35,5,1,120,not out,2014
9382,734019,DC v KXIP,GT,KXIP,George Bailey,6,7,0,0,85.71,c Jadhav b Imran Tahir,2014
9383,734019,DC v KXIP,GT,KXIP,Rishi Dhawan,8,5,1,0,160,not out,2014
9384,734021,SRH v RCB,GT,RCB,Chris Gayle,14,20,1,0,70,c Parvez Rasool b Sharma,2014
9385,734021,SRH v RCB,GT,RCB,Parthiv Patel,4,4,1,0,100,lbw b Kumar,2014
9386,734021,SRH v RCB,GT,RCB,Virat Kohli,67,41,4,4,163.41,c Steyn b Pathan,2014
9387,734021,SRH v RCB,GT,RCB,Yuvraj Singh,21,25,2,1,84,c Steyn b Parvez Rasool,2014
9388,734021,SRH v RCB,GT,RCB,AB de Villiers,29,17,2,1,170.58, b Kumar,2014
9389,734021,SRH v RCB,GT,RCB,Sachin Rana,12,7,2,0,171.42,not out,2014
9390,734021,SRH v RCB,GT,RCB,Mitchell Starc,6,6,1,0,100,run out (&dagger;Ojha),2014
9391,734021,SRH v RCB,GT,SRH,Shikhar Dhawan,50,39,7,1,128.2,run out (Yuvraj Singh/&dagger;Patel),2014
9392,734021,SRH v RCB,GT,SRH,David Warner,59,46,3,4,128.26,c Yuvraj Singh b Aaron,2014
9393,734021,SRH v RCB,GT,SRH,Naman Ojha,24,20,0,2,120,c Yuvraj Singh b Aaron,2014
9394,734021,SRH v RCB,GT,SRH,Aaron Finch,11,9,1,0,122.22,not out,2014
9395,734021,SRH v RCB,GT,SRH,Daren Sammy,10,4,0,1,250,not out,2014
9396,734023,KKR v CSK,GT,CSK,Dwayne Smith,5,6,1,0,83.33, b Cummins,2014
9397,734023,KKR v CSK,GT,CSK,Brendon McCullum,28,24,1,2,116.66,c SA Yadav b Narine,2014
9398,734023,KKR v CSK,GT,CSK,Suresh Raina,65,52,3,5,125,c ten Doeschate b Chawla,2014
9399,734023,KKR v CSK,GT,CSK,Faf du Plessis,23,20,2,0,115,run out (Chawla),2014
9400,734023,KKR v CSK,GT,CSK,MS Dhoni,21,15,1,1,140,not out,2014
9401,734023,KKR v CSK,GT,CSK,Ravindra Jadeja,9,4,0,1,225,not out,2014
9402,734023,KKR v CSK,GT,KKR,Robin Uthappa,67,39,10,1,171.79,c du Plessis b Jadeja,2014
9403,734023,KKR v CSK,GT,KKR,Gautam Gambhir,21,20,3,0,105, b Pandey,2014
9404,734023,KKR v CSK,GT,KKR,Manish Pandey,18,28,0,0,64.28,not out,2014
9405,734023,KKR v CSK,GT,KKR,Shakib Al Hasan,46,21,6,2,219.04,not out,2014
9406,734025,KXIP v MI,GT,KXIP,Virender Sehwag,17,11,1,2,154.54,run out (Kumar),2014
9407,734025,KXIP v MI,GT,KXIP,Manan Vohra,36,34,4,1,105.88, b Gopal,2014
9408,734025,KXIP v MI,GT,KXIP,Shaun Marsh,30,17,2,2,176.47,c Pollard b Santokie,2014
9409,734025,KXIP v MI,GT,KXIP,Glenn Maxwell,2,3,0,0,66.66,c &amp; b Gopal,2014
9410,734025,KXIP v MI,GT,KXIP,George Bailey,39,30,2,2,130,c Rayudu b Bumrah,2014
9411,734025,KXIP v MI,GT,KXIP,Wriddhiman Saha,3,8,0,0,37.5,run out (Rayudu),2014
9412,734025,KXIP v MI,GT,KXIP,Axar Patel,6,6,1,0,100,c Sharma b Kumar,2014
9413,734025,KXIP v MI,GT,KXIP,Rishi Dhawan,14,9,2,0,155.55,not out,2014
9414,734025,KXIP v MI,GT,KXIP,Beuran Hendricks,0,1,0,0,0, b Bumrah,2014
9415,734025,KXIP v MI,GT,KXIP,Shivam Sharma,1,1,0,0,100,not out,2014
9416,734025,KXIP v MI,GT,MI,Lendl Simmons,100,61,14,2,163.93,not out,2014
9417,734025,KXIP v MI,GT,MI,Michael Hussey,6,13,0,0,46.15, b Patel,2014
9418,734025,KXIP v MI,GT,MI,Ambati Rayudu,17,14,0,0,121.42,c Sehwag b Dhawan,2014
9419,734025,KXIP v MI,GT,MI,Rohit Sharma,18,20,2,0,90,c Sandeep Sharma b Hendricks,2014
9420,734025,KXIP v MI,GT,MI,Kieron Pollard,8,6,0,1,133.33,not out,2014
9421,734027,KKR v RCB,GT,KKR,Robin Uthappa,83,51,10,1,162.74,not out,2014
9422,734027,KKR v RCB,GT,KKR,Gautam Gambhir,4,4,1,0,100,c &dagger;Takawale b Starc,2014
9423,734027,KKR v RCB,GT,KKR,Manish Pandey,13,12,3,0,108.33,c Starc b Dinda,2014
9424,734027,KKR v RCB,GT,KKR,Yusuf Pathan,22,13,1,2,169.23,run out (Kohli/&dagger;Takawale),2014
9425,734027,KKR v RCB,GT,KKR,Shakib Al Hasan,60,38,5,3,157.89, b Ahmed,2014
9426,734027,KKR v RCB,GT,KKR,Ryan ten Doeschate,6,3,0,1,200,not out,2014
9427,734027,KKR v RCB,GT,RCB,Chris Gayle,6,9,1,0,66.66,lbw b UT Yadav,2014
9428,734027,KKR v RCB,GT,RCB,Yogesh Takawale,45,36,5,1,125, b Narine,2014
9429,734027,KKR v RCB,GT,RCB,Virat Kohli,38,31,3,1,122.58,c Morkel b Narine,2014
9430,734027,KKR v RCB,GT,RCB,Yuvraj Singh,22,12,1,2,183.33,c Vinay Kumar b Narine,2014
9431,734027,KKR v RCB,GT,RCB,AB de Villiers,13,13,1,0,100, b Narine,2014
9432,734027,KKR v RCB,GT,RCB,Sachin Rana,19,12,2,0,158.33,not out,2014
9433,734027,KKR v RCB,GT,RCB,Mitchell Starc,12,8,1,0,150,not out,2014
9434,734029,CSK v SRH,GT,CSK,Dwayne Smith,47,28,4,4,167.85,lbw b Sharma,2014
9435,734029,CSK v SRH,GT,CSK,Faf du Plessis,19,11,4,0,172.72,run out (Sharma),2014
9436,734029,CSK v SRH,GT,CSK,Suresh Raina,4,7,0,0,57.14,c Finch b Sharma,2014
9437,734029,CSK v SRH,GT,CSK,David Hussey,50,33,5,2,151.51,not out,2014
9438,734029,CSK v SRH,GT,CSK,MS Dhoni,57,41,2,4,139.02,not out,2014
9439,734029,CSK v SRH,GT,SRH,David Warner,90,45,12,3,200, b Hastings,2014
9440,734029,CSK v SRH,GT,SRH,Shikhar Dhawan,64,49,4,2,130.61,not out,2014
9441,734029,CSK v SRH,GT,SRH,Naman Ojha,19,18,0,1,105.55,c Negi b Raina,2014
9442,734029,CSK v SRH,GT,SRH,Aaron Finch,7,3,0,1,233.33,run out (Raina/Negi),2014
9443,734029,CSK v SRH,GT,SRH,Daren Sammy,0,3,0,0,0,c du Plessis b Jadeja,2014
9444,734029,CSK v SRH,GT,SRH,Venugopal Rao,4,1,1,0,400,not out,2014
9445,734031,MI v DC,GT,MI,Lendl Simmons,35,25,5,0,140,c Parnell b Imran Tahir,2014
9446,734031,MI v DC,GT,MI,Michael Hussey,56,33,7,2,169.69,run out (&dagger;Karthik/Jadhav),2014
9447,734031,MI v DC,GT,MI,Rohit Sharma,30,21,4,0,142.85, b Unadkat,2014
9448,734031,MI v DC,GT,MI,Kieron Pollard,11,8,0,1,137.5,c &dagger;Karthik b Unadkat,2014
9449,734031,MI v DC,GT,MI,Ambati Rayudu,2,3,0,0,66.66,c Vijay b Nadeem,2014
9450,734031,MI v DC,GT,MI,Aditya Tare,14,8,3,0,175,c Jadhav b Imran Tahir,2014
9451,734031,MI v DC,GT,MI,Harbhajan Singh,2,3,0,0,66.66,c Vijay b Parnell,2014
9452,734031,MI v DC,GT,MI,Shreyas Gopal,11,10,1,0,110,run out (&dagger;Karthik),2014
9453,734031,MI v DC,GT,MI,Marchant de Lange,1,2,0,0,50,c &dagger;Karthik b Imran Tahir,2014
9454,734031,MI v DC,GT,MI,Pragyan Ojha,2,2,0,0,100,run out (Tiwary/&dagger;Karthik),2014
9455,734031,MI v DC,GT,MI,Jasprit Bumrah,0,2,0,0,0,not out,2014
9456,734031,MI v DC,GT,DC,Murali Vijay,8,12,0,0,66.66,st &dagger;Tare b Gopal,2014
9457,734031,MI v DC,GT,DC,Kevin Pietersen,44,31,6,1,141.93, b Harbhajan Singh,2014
9458,734031,MI v DC,GT,DC,Dinesh Karthik,7,13,1,0,53.84, b de Lange,2014
9459,734031,MI v DC,GT,DC,Manoj Tiwary,41,31,5,1,132.25,c Hussey b de Lange,2014
9460,734031,MI v DC,GT,DC,Jean-Paul Duminy,45,29,0,4,155.17,not out,2014
9461,734031,MI v DC,GT,DC,Kedar Jadhav,7,5,1,0,140,not out,2014
9462,734033,KXIP v RR,GT,KXIP,Virender Sehwag,18,8,3,1,225,c Malik b Faulkner,2014
9463,734033,KXIP v RR,GT,KXIP,Manan Vohra,25,20,3,1,125,run out (Binny),2014
9464,734033,KXIP v RR,GT,KXIP,Shaun Marsh,40,35,5,1,114.28,c Rahane b Malik,2014
9465,734033,KXIP v RR,GT,KXIP,Wriddhiman Saha,27,20,4,0,135,c Rahane b Tewatia,2014
9466,734033,KXIP v RR,GT,KXIP,David Miller,29,20,0,2,145,not out,2014
9467,734033,KXIP v RR,GT,KXIP,George Bailey,26,18,1,1,144.44,not out,2014
9468,734033,KXIP v RR,GT,RR,Ajinkya Rahane,23,26,2,0,88.46, b Dhawan,2014
9469,734033,KXIP v RR,GT,RR,Karun Nair,11,6,2,0,183.33,c Bailey b Balaji,2014
9470,734033,KXIP v RR,GT,RR,Sanju Samson,30,29,2,1,103.44,st &dagger;Saha b Karanveer Singh,2014
9471,734033,KXIP v RR,GT,RR,Shane Watson,0,1,0,0,0, b Dhawan,2014
9472,734033,KXIP v RR,GT,RR,Stuart Binny,7,10,0,0,70,c Marsh b Karanveer Singh,2014
9473,734033,KXIP v RR,GT,RR,Rahul Tewatia,16,13,0,1,123.07,c Karanveer Singh b Patel,2014
9474,734033,KXIP v RR,GT,RR,Brad Hodge,31,18,2,2,172.22,st &dagger;Saha b Patel,2014
9475,734033,KXIP v RR,GT,RR,James Faulkner,35,13,1,4,269.23,not out,2014
9476,734033,KXIP v RR,GT,RR,Kevon Cooper,2,2,0,0,100,c Marsh b Patel,2014
9477,734033,KXIP v RR,GT,RR,Vikramjeet Malik,1,2,0,0,50,not out,2014
9478,734035,RCB v CSK,GT,RCB,Rilee Rossouw,1,4,0,0,25, b Nehra,2014
9479,734035,RCB v CSK,GT,RCB,Yogesh Takawale,19,17,4,0,111.76,lbw b Ashwin,2014
9480,734035,RCB v CSK,GT,RCB,Vijay Zol,13,12,0,1,108.33, b Sharma,2014
9481,734035,RCB v CSK,GT,RCB,Virat Kohli,73,49,2,5,148.97, b Nehra,2014
9482,734035,RCB v CSK,GT,RCB,Yuvraj Singh,25,24,2,0,104.16,c Raina b Jadeja,2014
9483,734035,RCB v CSK,GT,RCB,AB de Villiers,10,6,2,0,166.66, b Nehra,2014
9484,734035,RCB v CSK,GT,RCB,Sachin Rana,5,6,0,0,83.33,not out,2014
9485,734035,RCB v CSK,GT,RCB,Mitchell Starc,2,2,0,0,100,not out,2014
9486,734035,RCB v CSK,GT,CSK,Dwayne Smith,34,17,4,1,200,c Kohli b Rampaul,2014
9487,734035,RCB v CSK,GT,CSK,Faf du Plessis,54,43,3,3,125.58,not out,2014
9488,734035,RCB v CSK,GT,CSK,Suresh Raina,18,18,2,0,100,st &dagger;Takawale b Yuvraj Singh,2014
9489,734035,RCB v CSK,GT,CSK,MS Dhoni,49,28,4,3,175,not out,2014
9490,734037,KKR v SRH,GT,SRH,David Warner,4,2,1,0,200, b Morkel,2014
9491,734037,KKR v SRH,GT,SRH,Shikhar Dhawan,29,31,5,0,93.54,run out (Pandey/&dagger;Uthappa),2014
9492,734037,KKR v SRH,GT,SRH,Naman Ojha,26,23,5,1,113.04,c &amp; b ten Doeschate,2014
9493,734037,KKR v SRH,GT,SRH,Venugopal Rao,27,26,4,0,103.84,run out (Pandey/&dagger;Uthappa),2014
9494,734037,KKR v SRH,GT,SRH,Daren Sammy,29,19,1,3,152.63,c Shakib Al Hasan b Vinay Kumar,2014
9495,734037,KKR v SRH,GT,SRH,Srikkanth Anirudha,3,5,0,0,60,st &dagger;Uthappa b Shakib Al Hasan,2014
9496,734037,KKR v SRH,GT,SRH,Jason Holder,16,12,2,1,133.33,run out (&dagger;Uthappa/Vinay Kumar),2014
9497,734037,KKR v SRH,GT,SRH,Karn Sharma,5,2,1,0,250,not out,2014
9498,734037,KKR v SRH,GT,SRH,Parvez Rasool,0,0,0,0,-,not out,2014
9499,734037,KKR v SRH,GT,KKR,Robin Uthappa,41,30,4,2,136.66,c Holder b Sharma,2014
9500,734037,KKR v SRH,GT,KKR,Gautam Gambhir,28,18,4,1,155.55, b Holder,2014
9501,734037,KKR v SRH,GT,KKR,Manish Pandey,2,7,0,0,28.57,c Steyn b Sharma,2014
9502,734037,KKR v SRH,GT,KKR,Yusuf Pathan,72,22,5,7,327.27,c Dhawan b Sharma,2014
9503,734037,KKR v SRH,GT,KKR,Ryan ten Doeschate,0,1,0,0,0,run out (&dagger;Ojha/Sammy),2014
9504,734037,KKR v SRH,GT,KKR,Shakib Al Hasan,1,5,0,0,20,c Holder b Sharma,2014
9505,734037,KKR v SRH,GT,KKR,Suryakumar Yadav,12,5,1,1,240,not out,2014
9506,734037,KKR v SRH,GT,KKR,Vinay Kumar,0,0,0,0,-,not out,2014
9507,734039,KXIP v DC,GT,DC,Kevin Pietersen,58,41,9,0,141.46,lbw b Dhawan,2014
9508,734039,KXIP v DC,GT,DC,Mayank Agarwal,2,5,0,0,40,c Sehwag b Johnson,2014
9509,734039,KXIP v DC,GT,DC,Dinesh Karthik,13,7,3,0,185.71,c Patel b Awana,2014
9510,734039,KXIP v DC,GT,DC,Kedar Jadhav,0,4,0,0,0,c Vohra b Awana,2014
9511,734039,KXIP v DC,GT,DC,Manoj Tiwary,8,11,0,0,72.72,run out (Dhawan/Bailey),2014
9512,734039,KXIP v DC,GT,DC,Jean-Paul Duminy,8,8,1,0,100,c Patel b Karanveer Singh,2014
9513,734039,KXIP v DC,GT,DC,James Neesham,12,20,1,0,60,c Bailey b Karanveer Singh,2014
9514,734039,KXIP v DC,GT,DC,Shahbaz Nadeem,3,7,0,0,42.85,not out,2014
9515,734039,KXIP v DC,GT,DC,Mohammed Shami,0,1,0,0,0, b Patel,2014
9516,734039,KXIP v DC,GT,DC,Imran Tahir,4,4,1,0,100,c Dhawan b Patel,2014
9517,734039,KXIP v DC,GT,DC,Jaydev Unadkat,0,1,0,0,0,c Maxwell b Johnson,2014
9518,734039,KXIP v DC,GT,KXIP,Virender Sehwag,9,7,2,0,128.57,c &dagger;Karthik b Mohammed Shami,2014
9519,734039,KXIP v DC,GT,KXIP,Manan Vohra,47,38,4,2,123.68, b Imran Tahir,2014
9520,734039,KXIP v DC,GT,KXIP,Glenn Maxwell,0,3,0,0,0,c Pietersen b Unadkat,2014
9521,734039,KXIP v DC,GT,KXIP,David Miller,47,34,4,2,138.23,not out,2014
9522,734039,KXIP v DC,GT,KXIP,George Bailey,1,1,0,0,100,not out,2014
9523,734041,MI v RR,GT,RR,Shane Watson,8,18,1,0,44.44,c Pollard b Harbhajan Singh,2014
9524,734041,MI v RR,GT,RR,Sanju Samson,74,47,7,3,157.44,c Harbhajan Singh b Gopal,2014
9525,734041,MI v RR,GT,RR,Karun Nair,50,27,7,2,185.18,c Simmons b Bumrah,2014
9526,734041,MI v RR,GT,RR,Brad Hodge,29,16,2,1,181.25,not out,2014
9527,734041,MI v RR,GT,RR,James Faulkner,23,12,0,3,191.66,c Anderson b Pollard,2014
9528,734041,MI v RR,GT,RR,Kevon Cooper,0,0,0,0,-,not out,2014
9529,734041,MI v RR,GT,MI,Lendl Simmons,12,8,3,0,150,c Faulkner b Kulkarni,2014
9530,734041,MI v RR,GT,MI,Michael Hussey,22,11,1,2,200, b Cooper,2014
9531,734041,MI v RR,GT,MI,Corey Anderson,95,44,9,6,215.9,not out,2014
9532,734041,MI v RR,GT,MI,Kieron Pollard,7,3,0,1,233.33,c Hodge b Cooper,2014
9533,734041,MI v RR,GT,MI,Rohit Sharma,16,11,1,1,145.45,c Nair b Kulkarni,2014
9534,734041,MI v RR,GT,MI,Ambati Rayudu,30,10,5,1,300,run out (Nair/&dagger;Samson),2014
9535,734041,MI v RR,GT,MI,Aditya Tare,6,1,0,1,600,not out,2014
9536,734043,KKR v KXIP,GT,KKR,Robin Uthappa,42,30,4,2,140,c Miller b Patel,2014
9537,734043,KKR v KXIP,GT,KKR,Gautam Gambhir,1,3,0,0,33.33,c Bailey b Johnson,2014
9538,734043,KKR v KXIP,GT,KKR,Manish Pandey,21,20,3,0,105, b Patel,2014
9539,734043,KKR v KXIP,GT,KKR,Shakib Al Hasan,18,16,2,0,112.5,c Miller b Karanveer Singh,2014
9540,734043,KKR v KXIP,GT,KKR,Yusuf Pathan,20,18,2,1,111.11,c Miller b Karanveer Singh,2014
9541,734043,KKR v KXIP,GT,KKR,Ryan ten Doeschate,17,10,0,2,170,c Vohra b Johnson,2014
9542,734043,KKR v KXIP,GT,KKR,Suryakumar Yadav,20,14,3,1,142.85, b Karanveer Singh,2014
9543,734043,KKR v KXIP,GT,KKR,Piyush Chawla,17,9,3,0,188.88,not out,2014
9544,734043,KKR v KXIP,GT,KKR,Sunil Narine,0,0,0,0,-,run out (Johnson),2014
9545,734043,KKR v KXIP,GT,KKR,Morne Morkel,0,0,0,0,-,not out,2014
9546,734043,KKR v KXIP,GT,KXIP,Virender Sehwag,2,3,0,0,66.66,c Shakib Al Hasan b UT Yadav,2014
9547,734043,KKR v KXIP,GT,KXIP,Manan Vohra,26,19,0,3,136.84,c UT Yadav b Morkel,2014
9548,734043,KKR v KXIP,GT,KXIP,Wriddhiman Saha,35,31,2,2,112.9,c UT Yadav b Morkel,2014
9549,734043,KKR v KXIP,GT,KXIP,Glenn Maxwell,6,9,1,0,66.66,lbw b UT Yadav,2014
9550,734043,KKR v KXIP,GT,KXIP,David Miller,8,12,0,0,66.66, b Chawla,2014
9551,734043,KKR v KXIP,GT,KXIP,Axar Patel,2,2,0,0,100,run out (Chawla/&dagger;Uthappa),2014
9552,734043,KKR v KXIP,GT,KXIP,George Bailey,26,17,1,2,152.94,c Pandey b UT Yadav,2014
9553,734043,KKR v KXIP,GT,KXIP,Rishi Dhawan,14,15,0,1,93.33,st &dagger;Uthappa b Shakib Al Hasan,2014
9554,734043,KKR v KXIP,GT,KXIP,Mitchell Johnson,10,11,0,1,90.9,not out,2014
9555,734043,KKR v KXIP,GT,KXIP,Karanveer Singh,1,1,0,0,100,not out,2014
9556,734045,MI v CSK,GT,MI,Lendl Simmons,67,44,5,4,152.27,c Raina b Jadeja,2014
9557,734045,MI v CSK,GT,MI,Michael Hussey,39,33,4,1,118.18, b Jadeja,2014
9558,734045,MI v CSK,GT,MI,Corey Anderson,20,10,1,2,200,c Pandey b Ashwin,2014
9559,734045,MI v CSK,GT,MI,Rohit Sharma,20,16,3,0,125,c McCullum b Sharma,2014
9560,734045,MI v CSK,GT,MI,Kieron Pollard,14,8,1,1,175,c Sharma b Nehra,2014
9561,734045,MI v CSK,GT,MI,Ambati Rayudu,2,3,0,0,66.66,c Hussey b Sharma,2014
9562,734045,MI v CSK,GT,MI,Aditya Tare,0,1,0,0,0,c du Plessis b Nehra,2014
9563,734045,MI v CSK,GT,MI,Harbhajan Singh,7,2,0,1,350,not out,2014
9564,734045,MI v CSK,GT,MI,Praveen Kumar,1,2,0,0,50, b Sharma,2014
9565,734045,MI v CSK,GT,MI,Pragyan Ojha,1,1,0,0,100,not out,2014
9566,734045,MI v CSK,GT,CSK,Dwayne Smith,24,20,4,0,120,c Pollard b Harbhajan Singh,2014
9567,734045,MI v CSK,GT,CSK,Faf du Plessis,35,20,5,1,175,c sub (BR Dunk) b Harbhajan Singh,2014
9568,734045,MI v CSK,GT,CSK,Suresh Raina,54,33,4,2,163.63,not out,2014
9569,734045,MI v CSK,GT,CSK,Brendon McCullum,14,11,0,2,127.27,st &dagger;Tare b Ojha,2014
9570,734045,MI v CSK,GT,CSK,David Hussey,40,29,2,3,137.93,not out,2014
9571,734047,CSK v KXIP,GT,KXIP,Virender Sehwag,122,58,12,8,210.34,c du Plessis b Nehra,2014
9572,734047,CSK v KXIP,GT,KXIP,Manan Vohra,34,31,1,2,109.67,c Raina b Pandey,2014
9573,734047,CSK v KXIP,GT,KXIP,Glenn Maxwell,13,6,1,1,216.66,c Raina b Ashwin,2014
9574,734047,CSK v KXIP,GT,KXIP,David Miller,38,19,5,1,200,run out (&dagger;Dhoni),2014
9575,734047,CSK v KXIP,GT,KXIP,George Bailey,1,2,0,0,50, b Nehra,2014
9576,734047,CSK v KXIP,GT,KXIP,Wriddhiman Saha,6,4,0,1,150,c Smith b Sharma,2014
9577,734047,CSK v KXIP,GT,KXIP,Mitchell Johnson,1,1,0,0,100,not out,2014
9578,734047,CSK v KXIP,GT,CSK,Dwayne Smith,7,11,0,0,63.63, b Sandeep Sharma,2014
9579,734047,CSK v KXIP,GT,CSK,Faf du Plessis,0,1,0,0,0,c Bailey b Johnson,2014
9580,734047,CSK v KXIP,GT,CSK,Suresh Raina,87,25,12,6,348,run out (Bailey),2014
9581,734047,CSK v KXIP,GT,CSK,Brendon McCullum,11,16,0,0,68.75,run out (Maxwell/&dagger;Saha),2014
9582,734047,CSK v KXIP,GT,CSK,Ravindra Jadeja,27,21,2,1,128.57,c Johnson b Awana,2014
9583,734047,CSK v KXIP,GT,CSK,David Hussey,1,3,0,0,33.33,c Sehwag b Awana,2014
9584,734047,CSK v KXIP,GT,CSK,MS Dhoni,42,31,3,3,135.48,not out,2014
9585,734047,CSK v KXIP,GT,CSK,Ravichandran Ashwin,10,11,0,0,90.9,st &dagger;Saha b Patel,2014
9586,734047,CSK v KXIP,GT,CSK,Mohit Sharma,1,3,0,0,33.33,not out,2014
9587,734049,KXIP v KKR,GT,KXIP,Virender Sehwag,7,10,1,0,70,c Gambhir b UT Yadav,2014
9588,734049,KXIP v KKR,GT,KXIP,Manan Vohra,67,52,6,2,128.84,c &amp; b Chawla,2014
9589,734049,KXIP v KKR,GT,KXIP,George Bailey,1,2,0,0,50, b Narine,2014
9590,734049,KXIP v KKR,GT,KXIP,Wriddhiman Saha,115,55,10,8,209.09,not out,2014
9591,734049,KXIP v KKR,GT,KXIP,Glenn Maxwell,0,1,0,0,0,c Morkel b Chawla,2014
9592,734049,KXIP v KKR,GT,KXIP,David Miller,1,1,0,0,100,not out,2014
9593,734049,KXIP v KKR,GT,KKR,Robin Uthappa,5,3,1,0,166.66,c Patel b Johnson,2014
9594,734049,KXIP v KKR,GT,KKR,Gautam Gambhir,23,17,3,0,135.29,c Miller b Karanveer Singh,2014
9595,734049,KXIP v KKR,GT,KKR,Manish Pandey,94,50,7,6,188,c Bailey b Karanveer Singh,2014
9596,734049,KXIP v KKR,GT,KKR,Yusuf Pathan,36,22,0,4,163.63,c Maxwell b Karanveer Singh,2014
9597,734049,KXIP v KKR,GT,KKR,Shakib Al Hasan,12,7,2,0,171.42,run out (Bailey),2014
9598,734049,KXIP v KKR,GT,KKR,Ryan ten Doeschate,4,3,1,0,133.33,c Miller b Karanveer Singh,2014
9599,734049,KXIP v KKR,GT,KKR,Suryakumar Yadav,5,6,0,0,83.33,c Vohra b Johnson,2014
9600,734049,KXIP v KKR,GT,KKR,Piyush Chawla,13,5,1,1,260,not out,2014
9601,734049,KXIP v KKR,GT,KKR,Sunil Narine,2,4,0,0,50,not out,2014
9602,597998,KKR v DC,GT,DC,Unmukt Chand,0,1,0,0,0, b Lee,2013
9603,597998,KKR v DC,GT,DC,David Warner,21,19,4,0,110.52,c Kallis b Narine,2013
9604,597998,KKR v DC,GT,DC,Mahela Jayawardene,66,52,8,1,126.92,c Narine b Lee,2013
9605,597998,KKR v DC,GT,DC,Manprit Juneja,8,9,1,0,88.88,c Shukla b Balaji,2013
